,WeekDay,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),combined,Distance,r-squared
0,0,3394,3603,849.2173913043479,"3394, 3603",1.5,0.258
1,0,3394,3692,1060.625,"3394, 3692",1.9,0.658
2,0,3394,3760,1059.0,"3394, 3760",1.9,0.36
3,0,3396,3603,1390.4444444444443,"3396, 3603",3.2,0.257
4,0,3396,3692,1510.2727272727273,"3396, 3692",3.5,0.678
5,0,3396,3760,1407.6666666666667,"3396, 3760",3.5,0.113
6,0,3603,3394,631.2352941176471,"3603, 3394",1.5,0.322
7,0,3603,3396,,"3603, 3396",3.2,0.17
8,0,3603,3792,567.48,"3603, 3792",1.8,0.54
9,0,3692,3394,819.2307692307693,"3692, 3394",2.4,0.474
10,0,3692,3396,,"3692, 3396",4.2,0.771
11,0,3692,3792,443.0833333333333,"3692, 3792",1.4,0.092
12,0,3760,3394,849.7272727272727,"3760, 3394",2.5,0.365
13,0,3760,3396,,"3760, 3396",4.1,1.0
14,0,3760,3792,766.7,"3760, 3792",1.1,0.374
15,0,3792,3603,700.4166666666666,"3792, 3603",1.7,0.582
16,0,3792,3692,668.04,"3792, 3692",1.0,0.645
17,0,3792,3760,795.5,"3792, 3760",1.6,0.019
18,1,3394,3603,866.28,"3394, 3603",1.5,0.258
19,1,3394,3692,1105.28,"3394, 3692",1.9,0.658
20,1,3394,3760,1097.5454545454545,"3394, 3760",1.9,0.36
21,1,3396,3603,1355.125,"3396, 3603",3.2,0.257
22,1,3396,3692,1540.48,"3396, 3692",3.5,0.678
23,1,3396,3760,1403.0,"3396, 3760",3.5,0.113
24,1,3603,3394,640.3157894736842,"3603, 3394",1.5,0.322
25,1,3603,3396,1110.0,"3603, 3396",3.2,0.17
26,1,3603,3792,594.88,"3603, 3792",1.8,0.54
27,1,3692,3394,889.4,"3692, 3394",2.4,0.474
28,1,3692,3396,,"3692, 3396",4.2,0.771
29,1,3692,3792,468.48,"3692, 3792",1.4,0.092
30,1,3760,3394,820.5,"3760, 3394",2.5,0.365
31,1,3760,3396,,"3760, 3396",4.1,1.0
32,1,3760,3792,737.55,"3760, 3792",1.1,0.374
33,1,3792,3603,760.76,"3792, 3603",1.7,0.582
34,1,3792,3692,727.16,"3792, 3692",1.0,0.645
35,1,3792,3760,1069.0,"3792, 3760",1.6,0.019
36,2,3394,3603,858.8461538461538,"3394, 3603",1.5,0.258
37,2,3394,3692,1078.3461538461538,"3394, 3692",1.9,0.658
38,2,3394,3760,1067.0869565217392,"3394, 3760",1.9,0.36
39,2,3396,3603,1385.3333333333333,"3396, 3603",3.2,0.257
40,2,3396,3692,1515.6923076923076,"3396, 3692",3.5,0.678
41,2,3396,3760,1440.0,"3396, 3760",3.5,0.113
42,2,3603,3394,620.6363636363636,"3603, 3394",1.5,0.322
43,2,3603,3396,1080.0,"3603, 3396",3.2,0.17
44,2,3603,3792,593.0,"3603, 3792",1.8,0.54
45,2,3692,3394,880.6153846153846,"3692, 3394",2.4,0.474
46,2,3692,3396,1379.0,"3692, 3396",4.2,0.771
47,2,3692,3792,512.1538461538462,"3692, 3792",1.4,0.092
48,2,3760,3394,898.8181818181819,"3760, 3394",2.5,0.365
49,2,3760,3396,,"3760, 3396",4.1,1.0
50,2,3760,3792,806.5625,"3760, 3792",1.1,0.374
51,2,3792,3603,790.3461538461538,"3792, 3603",1.7,0.582
52,2,3792,3692,768.1923076923077,"3792, 3692",1.0,0.645
53,2,3792,3760,960.0,"3792, 3760",1.6,0.019
54,3,3394,3603,882.0769230769231,"3394, 3603",1.5,0.258
55,3,3394,3692,1056.3846153846155,"3394, 3692",1.9,0.658
56,3,3394,3760,1054.4347826086957,"3394, 3760",1.9,0.36
57,3,3396,3603,1422.1,"3396, 3603",3.2,0.257
58,3,3396,3692,1567.2307692307693,"3396, 3692",3.5,0.678
59,3,3396,3760,1489.4,"3396, 3760",3.5,0.113
60,3,3603,3394,670.0869565217391,"3603, 3394",1.5,0.322
61,3,3603,3396,1008.3333333333334,"3603, 3396",3.2,0.17
62,3,3603,3792,601.2307692307693,"3603, 3792",1.8,0.54
63,3,3692,3394,921.6666666666666,"3692, 3394",2.4,0.474
64,3,3692,3396,1321.0,"3692, 3396",4.2,0.771
65,3,3692,3792,479.7692307692308,"3692, 3792",1.4,0.092
66,3,3760,3394,904.5833333333334,"3760, 3394",2.5,0.365
67,3,3760,3396,,"3760, 3396",4.1,1.0
68,3,3760,3792,701.75,"3760, 3792",1.1,0.374
69,3,3792,3603,783.1153846153846,"3792, 3603",1.7,0.582
70,3,3792,3692,702.1153846153846,"3792, 3692",1.0,0.645
71,3,3792,3760,652.0,"3792, 3760",1.6,0.019
72,4,3394,3603,823.0909090909091,"3394, 3603",1.5,0.258
73,4,3394,3692,1044.7692307692307,"3394, 3692",1.9,0.658
74,4,3394,3760,1019.578947368421,"3394, 3760",1.9,0.36
75,4,3396,3603,1252.3333333333333,"3396, 3603",3.2,0.257
76,4,3396,3692,1405.8461538461538,"3396, 3692",3.5,0.678
77,4,3396,3760,1404.0,"3396, 3760",3.5,0.113
78,4,3603,3394,622.25,"3603, 3394",1.5,0.322
79,4,3603,3396,1234.0,"3603, 3396",3.2,0.17
80,4,3603,3792,568.2307692307693,"3603, 3792",1.8,0.54
81,4,3692,3394,864.047619047619,"3692, 3394",2.4,0.474
82,4,3692,3396,1285.0,"3692, 3396",4.2,0.771
83,4,3692,3792,443.5769230769231,"3692, 3792",1.4,0.092
84,4,3760,3394,855.0526315789474,"3760, 3394",2.5,0.365
85,4,3760,3396,,"3760, 3396",4.1,1.0
86,4,3760,3792,705.9090909090909,"3760, 3792",1.1,0.374
87,4,3792,3603,711.0384615384615,"3792, 3603",1.7,0.582
88,4,3792,3692,648.3076923076923,"3792, 3692",1.0,0.645
89,4,3792,3760,1084.0,"3792, 3760",1.6,0.019
90,5,3394,3603,477.0,"3394, 3603",1.5,0.258
91,5,3394,3692,707.5454545454545,"3394, 3692",1.9,0.658
92,5,3394,3760,715.0,"3394, 3760",1.9,0.36
93,5,3396,3603,,"3396, 3603",3.2,0.257
94,5,3396,3692,1047.0,"3396, 3692",3.5,0.678
95,5,3396,3760,,"3396, 3760",3.5,0.113
96,5,3603,3394,585.0588235294117,"3603, 3394",1.5,0.322
97,5,3603,3396,,"3603, 3396",3.2,0.17
98,5,3603,3792,434.6923076923077,"3603, 3792",1.8,0.54
99,5,3692,3394,669.2173913043479,"3692, 3394",2.4,0.474
100,5,3692,3396,1069.2,"3692, 3396",4.2,0.771
101,5,3692,3792,368.12,"3692, 3792",1.4,0.092
102,5,3760,3394,739.0555555555555,"3760, 3394",2.5,0.365
103,5,3760,3396,1476.0,"3760, 3396",4.1,1.0
104,5,3760,3792,,"3760, 3792",1.1,0.374
105,5,3792,3603,411.8333333333333,"3792, 3603",1.7,0.582
106,5,3792,3692,425.92,"3792, 3692",1.0,0.645
107,5,3792,3760,,"3792, 3760",1.6,0.019
108,6,3394,3603,808.0,"3394, 3603",1.5,0.258
109,6,3394,3692,748.8823529411765,"3394, 3692",1.9,0.658
110,6,3394,3760,991.5,"3394, 3760",1.9,0.36
111,6,3396,3603,,"3396, 3603",3.2,0.257
112,6,3396,3692,1097.0,"3396, 3692",3.5,0.678
113,6,3396,3760,,"3396, 3760",3.5,0.113
114,6,3603,3394,600.0,"3603, 3394",1.5,0.322
115,6,3603,3396,,"3603, 3396",3.2,0.17
116,6,3603,3792,471.3181818181818,"3603, 3792",1.8,0.54
117,6,3692,3394,631.8095238095239,"3692, 3394",2.4,0.474
118,6,3692,3396,1151.0,"3692, 3396",4.2,0.771
119,6,3692,3792,473.65,"3692, 3792",1.4,0.092
120,6,3760,3394,742.2380952380952,"3760, 3394",2.5,0.365
121,6,3760,3396,,"3760, 3396",4.1,1.0
122,6,3760,3792,1052.8,"3760, 3792",1.1,0.374
123,6,3792,3603,379.3125,"3792, 3603",1.7,0.582
124,6,3792,3692,395.72222222222223,"3792, 3692",1.0,0.645
125,6,3792,3760,,"3792, 3760",1.6,0.019
