,WeekDay,Origin Movement ID,Destination Movement ID,Midday Mean Travel Time (Seconds),combined,Distance
0,0,3394,3603,715.5,"3394, 3603",1.5
1,0,3394,3692,1036.16,"3394, 3692",1.9
2,0,3394,3760,953.32,"3394, 3760",1.9
3,0,3396,3603,1157.5,"3396, 3603",3.2
4,0,3396,3692,1419.5,"3396, 3692",3.5
5,0,3396,3760,1278.8461538461538,"3396, 3760",3.5
6,0,3603,3394,670.04,"3603, 3394",1.5
7,0,3603,3396,1149.6,"3603, 3396",3.2
8,0,3603,3792,580.04,"3603, 3792",1.8
9,0,3692,3394,777.5416666666666,"3692, 3394",2.4
10,0,3692,3396,1206.2222222222222,"3692, 3396",4.2
11,0,3692,3792,537.4,"3692, 3792",1.4
12,0,3760,3394,830.1666666666666,"3760, 3394",2.5
13,0,3760,3396,1283.6666666666667,"3760, 3396",4.1
14,0,3760,3792,617.5555555555555,"3760, 3792",1.1
15,0,3792,3603,489.96,"3792, 3603",1.7
16,0,3792,3692,518.32,"3792, 3692",1.0
17,0,3792,3760,783.1666666666666,"3792, 3760",1.6
18,1,3394,3603,718.76,"3394, 3603",1.5
19,1,3394,3692,1065.8461538461538,"3394, 3692",1.9
20,1,3394,3760,953.7307692307693,"3394, 3760",1.9
21,1,3396,3603,1213.0,"3396, 3603",3.2
22,1,3396,3692,1463.9285714285713,"3396, 3692",3.5
23,1,3396,3760,1359.6666666666667,"3396, 3760",3.5
24,1,3603,3394,668.64,"3603, 3394",1.5
25,1,3603,3396,1172.1875,"3603, 3396",3.2
26,1,3603,3792,599.7307692307693,"3603, 3792",1.8
27,1,3692,3394,785.0769230769231,"3692, 3394",2.4
28,1,3692,3396,1288.2,"3692, 3396",4.2
29,1,3692,3792,526.4615384615385,"3692, 3792",1.4
30,1,3760,3394,835.4230769230769,"3760, 3394",2.5
31,1,3760,3396,1232.5,"3760, 3396",4.1
32,1,3760,3792,712.9230769230769,"3760, 3792",1.1
33,1,3792,3603,520.9230769230769,"3792, 3603",1.7
34,1,3792,3692,560.1538461538462,"3792, 3692",1.0
35,1,3792,3760,781.9230769230769,"3792, 3760",1.6
36,2,3394,3603,731.6538461538462,"3394, 3603",1.5
37,2,3394,3692,1059.1538461538462,"3394, 3692",1.9
38,2,3394,3760,998.4615384615385,"3394, 3760",1.9
39,2,3396,3603,1252.6666666666667,"3396, 3603",3.2
40,2,3396,3692,1524.6875,"3396, 3692",3.5
41,2,3396,3760,1420.1666666666667,"3396, 3760",3.5
42,2,3603,3394,690.9230769230769,"3603, 3394",1.5
43,2,3603,3396,1233.5882352941176,"3603, 3396",3.2
44,2,3603,3792,636.6153846153846,"3603, 3792",1.8
45,2,3692,3394,782.8076923076923,"3692, 3394",2.4
46,2,3692,3396,1261.4,"3692, 3396",4.2
47,2,3692,3792,584.8846153846154,"3692, 3792",1.4
48,2,3760,3394,820.0769230769231,"3760, 3394",2.5
49,2,3760,3396,1367.3333333333333,"3760, 3396",4.1
50,2,3760,3792,724.2941176470588,"3760, 3792",1.1
51,2,3792,3603,539.7307692307693,"3792, 3603",1.7
52,2,3792,3692,596.1538461538462,"3792, 3692",1.0
53,2,3792,3760,900.3571428571429,"3792, 3760",1.6
54,3,3394,3603,766.0769230769231,"3394, 3603",1.5
55,3,3394,3692,1126.4615384615386,"3394, 3692",1.9
56,3,3394,3760,995.1538461538462,"3394, 3760",1.9
57,3,3396,3603,1302.375,"3396, 3603",3.2
58,3,3396,3692,1558.388888888889,"3396, 3692",3.5
59,3,3396,3760,1407.6666666666667,"3396, 3760",3.5
60,3,3603,3394,660.7692307692307,"3603, 3394",1.5
61,3,3603,3396,1221.7894736842106,"3603, 3396",3.2
62,3,3603,3792,652.4230769230769,"3603, 3792",1.8
63,3,3692,3394,814.7692307692307,"3692, 3394",2.4
64,3,3692,3396,1324.0,"3692, 3396",4.2
65,3,3692,3792,616.0384615384615,"3692, 3792",1.4
66,3,3760,3394,842.8846153846154,"3760, 3394",2.5
67,3,3760,3396,1109.3333333333333,"3760, 3396",4.1
68,3,3760,3792,800.6,"3760, 3792",1.1
69,3,3792,3603,577.1153846153846,"3792, 3603",1.7
70,3,3792,3692,615.7307692307693,"3792, 3692",1.0
71,3,3792,3760,810.3333333333334,"3792, 3760",1.6
72,4,3394,3603,800.0769230769231,"3394, 3603",1.5
73,4,3394,3692,1151.3461538461538,"3394, 3692",1.9
74,4,3394,3760,1076.576923076923,"3394, 3760",1.9
75,4,3396,3603,1362.6666666666667,"3396, 3603",3.2
76,4,3396,3692,1526.0,"3396, 3692",3.5
77,4,3396,3760,1506.6666666666667,"3396, 3760",3.5
78,4,3603,3394,691.4230769230769,"3603, 3394",1.5
79,4,3603,3396,1280.8260869565217,"3603, 3396",3.2
80,4,3603,3792,662.9230769230769,"3603, 3792",1.8
81,4,3692,3394,860.0384615384615,"3692, 3394",2.4
82,4,3692,3396,1344.5,"3692, 3396",4.2
83,4,3692,3792,596.9230769230769,"3692, 3792",1.4
84,4,3760,3394,899.3461538461538,"3760, 3394",2.5
85,4,3760,3396,1200.4285714285713,"3760, 3396",4.1
86,4,3760,3792,806.8235294117648,"3760, 3792",1.1
87,4,3792,3603,547.7692307692307,"3792, 3603",1.7
88,4,3792,3692,598.0,"3792, 3692",1.0
89,4,3792,3760,840.7692307692307,"3792, 3760",1.6
90,5,3394,3603,820.6153846153846,"3394, 3603",1.5
91,5,3394,3692,988.7307692307693,"3394, 3692",1.9
92,5,3394,3760,1034.2307692307693,"3394, 3760",1.9
93,5,3396,3603,1400.5714285714287,"3396, 3603",3.2
94,5,3396,3692,1510.7,"3396, 3692",3.5
95,5,3396,3760,1418.55,"3396, 3760",3.5
96,5,3603,3394,710.5384615384615,"3603, 3394",1.5
97,5,3603,3396,1216.05,"3603, 3396",3.2
98,5,3603,3792,563.6923076923077,"3603, 3792",1.8
99,5,3692,3394,833.7307692307693,"3692, 3394",2.4
100,5,3692,3396,1391.1764705882354,"3692, 3396",4.2
101,5,3692,3792,405.8076923076923,"3692, 3792",1.4
102,5,3760,3394,916.8461538461538,"3760, 3394",2.5
103,5,3760,3396,1442.3,"3760, 3396",4.1
104,5,3760,3792,930.3913043478261,"3760, 3792",1.1
105,5,3792,3603,510.4230769230769,"3792, 3603",1.7
106,5,3792,3692,579.6923076923077,"3792, 3692",1.0
107,5,3792,3760,842.8333333333334,"3792, 3760",1.6
108,6,3394,3603,727.0384615384615,"3394, 3603",1.5
109,6,3394,3692,909.44,"3394, 3692",1.9
110,6,3394,3760,983.84,"3394, 3760",1.9
111,6,3396,3603,1397.25,"3396, 3603",3.2
112,6,3396,3692,1452.2916666666667,"3396, 3692",3.5
113,6,3396,3760,1382.0,"3396, 3760",3.5
114,6,3603,3394,683.76,"3603, 3394",1.5
115,6,3603,3396,1183.8333333333333,"3603, 3396",3.2
116,6,3603,3792,550.6923076923077,"3603, 3792",1.8
117,6,3692,3394,774.4,"3692, 3394",2.4
118,6,3692,3396,1286.764705882353,"3692, 3396",4.2
119,6,3692,3792,383.4,"3692, 3792",1.4
120,6,3760,3394,894.7692307692307,"3760, 3394",2.5
121,6,3760,3396,1232.3,"3760, 3396",4.1
122,6,3760,3792,840.1304347826087,"3760, 3792",1.1
123,6,3792,3603,451.84,"3792, 3603",1.7
124,6,3792,3692,518.0,"3792, 3692",1.0
125,6,3792,3760,824.6111111111111,"3792, 3760",1.6
