,WeekDay,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),combined,Distance
0,0,3394,3603,849.2173913043479,"3394, 3603",1.5
1,0,3394,3692,1060.625,"3394, 3692",1.9
2,0,3394,3760,1059.0,"3394, 3760",1.9
3,0,3396,3603,1390.4444444444443,"3396, 3603",3.2
4,0,3396,3692,1510.2727272727273,"3396, 3692",3.5
5,0,3396,3760,1407.6666666666667,"3396, 3760",3.5
6,0,3603,3394,631.2352941176471,"3603, 3394",1.5
7,0,3603,3396,,"3603, 3396",3.2
8,0,3603,3792,567.48,"3603, 3792",1.8
9,0,3692,3394,819.2307692307693,"3692, 3394",2.4
10,0,3692,3396,,"3692, 3396",4.2
11,0,3692,3792,443.0833333333333,"3692, 3792",1.4
12,0,3760,3394,849.7272727272727,"3760, 3394",2.5
13,0,3760,3396,,"3760, 3396",4.1
14,0,3760,3792,766.7,"3760, 3792",1.1
15,0,3792,3603,700.4166666666666,"3792, 3603",1.7
16,0,3792,3692,668.04,"3792, 3692",1.0
17,0,3792,3760,795.5,"3792, 3760",1.6
18,1,3394,3603,866.28,"3394, 3603",1.5
19,1,3394,3692,1105.28,"3394, 3692",1.9
20,1,3394,3760,1097.5454545454545,"3394, 3760",1.9
21,1,3396,3603,1355.125,"3396, 3603",3.2
22,1,3396,3692,1540.48,"3396, 3692",3.5
23,1,3396,3760,1403.0,"3396, 3760",3.5
24,1,3603,3394,640.3157894736842,"3603, 3394",1.5
25,1,3603,3396,1110.0,"3603, 3396",3.2
26,1,3603,3792,594.88,"3603, 3792",1.8
27,1,3692,3394,889.4,"3692, 3394",2.4
28,1,3692,3396,,"3692, 3396",4.2
29,1,3692,3792,468.48,"3692, 3792",1.4
30,1,3760,3394,820.5,"3760, 3394",2.5
31,1,3760,3396,,"3760, 3396",4.1
32,1,3760,3792,737.55,"3760, 3792",1.1
33,1,3792,3603,760.76,"3792, 3603",1.7
34,1,3792,3692,727.16,"3792, 3692",1.0
35,1,3792,3760,1069.0,"3792, 3760",1.6
36,2,3394,3603,858.8461538461538,"3394, 3603",1.5
37,2,3394,3692,1078.3461538461538,"3394, 3692",1.9
38,2,3394,3760,1067.0869565217392,"3394, 3760",1.9
39,2,3396,3603,1385.3333333333333,"3396, 3603",3.2
40,2,3396,3692,1515.6923076923076,"3396, 3692",3.5
41,2,3396,3760,1440.0,"3396, 3760",3.5
42,2,3603,3394,620.6363636363636,"3603, 3394",1.5
43,2,3603,3396,1080.0,"3603, 3396",3.2
44,2,3603,3792,593.0,"3603, 3792",1.8
45,2,3692,3394,880.6153846153846,"3692, 3394",2.4
46,2,3692,3396,1379.0,"3692, 3396",4.2
47,2,3692,3792,512.1538461538462,"3692, 3792",1.4
48,2,3760,3394,898.8181818181819,"3760, 3394",2.5
49,2,3760,3396,,"3760, 3396",4.1
50,2,3760,3792,806.5625,"3760, 3792",1.1
51,2,3792,3603,790.3461538461538,"3792, 3603",1.7
52,2,3792,3692,768.1923076923077,"3792, 3692",1.0
53,2,3792,3760,960.0,"3792, 3760",1.6
54,3,3394,3603,882.0769230769231,"3394, 3603",1.5
55,3,3394,3692,1056.3846153846155,"3394, 3692",1.9
56,3,3394,3760,1054.4347826086957,"3394, 3760",1.9
57,3,3396,3603,1422.1,"3396, 3603",3.2
58,3,3396,3692,1567.2307692307693,"3396, 3692",3.5
59,3,3396,3760,1489.4,"3396, 3760",3.5
60,3,3603,3394,670.0869565217391,"3603, 3394",1.5
61,3,3603,3396,1008.3333333333334,"3603, 3396",3.2
62,3,3603,3792,601.2307692307693,"3603, 3792",1.8
63,3,3692,3394,921.6666666666666,"3692, 3394",2.4
64,3,3692,3396,1321.0,"3692, 3396",4.2
65,3,3692,3792,479.7692307692308,"3692, 3792",1.4
66,3,3760,3394,904.5833333333334,"3760, 3394",2.5
67,3,3760,3396,,"3760, 3396",4.1
68,3,3760,3792,701.75,"3760, 3792",1.1
69,3,3792,3603,783.1153846153846,"3792, 3603",1.7
70,3,3792,3692,702.1153846153846,"3792, 3692",1.0
71,3,3792,3760,652.0,"3792, 3760",1.6
72,4,3394,3603,823.0909090909091,"3394, 3603",1.5
73,4,3394,3692,1044.7692307692307,"3394, 3692",1.9
74,4,3394,3760,1019.578947368421,"3394, 3760",1.9
75,4,3396,3603,1252.3333333333333,"3396, 3603",3.2
76,4,3396,3692,1405.8461538461538,"3396, 3692",3.5
77,4,3396,3760,1404.0,"3396, 3760",3.5
78,4,3603,3394,622.25,"3603, 3394",1.5
79,4,3603,3396,1234.0,"3603, 3396",3.2
80,4,3603,3792,568.2307692307693,"3603, 3792",1.8
81,4,3692,3394,864.047619047619,"3692, 3394",2.4
82,4,3692,3396,1285.0,"3692, 3396",4.2
83,4,3692,3792,443.5769230769231,"3692, 3792",1.4
84,4,3760,3394,855.0526315789474,"3760, 3394",2.5
85,4,3760,3396,,"3760, 3396",4.1
86,4,3760,3792,705.9090909090909,"3760, 3792",1.1
87,4,3792,3603,711.0384615384615,"3792, 3603",1.7
88,4,3792,3692,648.3076923076923,"3792, 3692",1.0
89,4,3792,3760,1084.0,"3792, 3760",1.6
90,5,3394,3603,477.0,"3394, 3603",1.5
91,5,3394,3692,707.5454545454545,"3394, 3692",1.9
92,5,3394,3760,715.0,"3394, 3760",1.9
93,5,3396,3603,,"3396, 3603",3.2
94,5,3396,3692,1047.0,"3396, 3692",3.5
95,5,3396,3760,,"3396, 3760",3.5
96,5,3603,3394,585.0588235294117,"3603, 3394",1.5
97,5,3603,3396,,"3603, 3396",3.2
98,5,3603,3792,434.6923076923077,"3603, 3792",1.8
99,5,3692,3394,669.2173913043479,"3692, 3394",2.4
100,5,3692,3396,1069.2,"3692, 3396",4.2
101,5,3692,3792,368.12,"3692, 3792",1.4
102,5,3760,3394,739.0555555555555,"3760, 3394",2.5
103,5,3760,3396,1476.0,"3760, 3396",4.1
104,5,3760,3792,,"3760, 3792",1.1
105,5,3792,3603,411.8333333333333,"3792, 3603",1.7
106,5,3792,3692,425.92,"3792, 3692",1.0
107,5,3792,3760,,"3792, 3760",1.6
108,6,3394,3603,808.0,"3394, 3603",1.5
109,6,3394,3692,748.8823529411765,"3394, 3692",1.9
110,6,3394,3760,991.5,"3394, 3760",1.9
111,6,3396,3603,,"3396, 3603",3.2
112,6,3396,3692,1097.0,"3396, 3692",3.5
113,6,3396,3760,,"3396, 3760",3.5
114,6,3603,3394,600.0,"3603, 3394",1.5
115,6,3603,3396,,"3603, 3396",3.2
116,6,3603,3792,471.3181818181818,"3603, 3792",1.8
117,6,3692,3394,631.8095238095239,"3692, 3394",2.4
118,6,3692,3396,1151.0,"3692, 3396",4.2
119,6,3692,3792,473.65,"3692, 3792",1.4
120,6,3760,3394,742.2380952380952,"3760, 3394",2.5
121,6,3760,3396,,"3760, 3396",4.1
122,6,3760,3792,1052.8,"3760, 3792",1.1
123,6,3792,3603,379.3125,"3792, 3603",1.7
124,6,3792,3692,395.72222222222223,"3792, 3692",1.0
125,6,3792,3760,,"3792, 3760",1.6
